sample_index,compiles,correct_indentation,no_deprecations,correct_functionality,functions_retrieved,functions_with_context
0,Pass,Pass,Pass,Pass,1,1
1,Pass,Pass,Pass,Pass,1,1
2,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,1,1
3,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: histogram() got an unexpected keyword argument 'normed'",Fail: Skipped,1,1
4,Pass,Pass,Pass,Pass,1,1
5,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'memmap' object has no attribute 'sync',0,0
6,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,1,1
7,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.ndarray' object has no attribute '_format' and no __dict__ for setting new attributes,0,0
8,Pass,Pass,Pass,Pass,1,1
9,Pass,Pass,Pass,Pass,0,0
10,Pass,Pass,Pass,"Fail: Failed: [Expected: True, Got: False]",0,0
11,Pass,Pass,Pass,Pass,1,1
12,Pass,Pass,Pass,Pass,1,1
13,Pass,Pass,Pass,Pass,1,1
14,Pass,Pass,Pass,Pass,1,1
15,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",Fail: Skipped,1,1
16,Pass,Pass,Pass,Pass,1,1
17,Pass,Pass,Pass,Pass,1,1
18,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.nditer' object has no attribute 'next_non_null',0,0
19,Pass,Pass,Pass,Pass,1,1
20,Pass,Pass,Pass,Pass,1,1
21,Pass,Pass,Pass,Pass,1,1
22,Pass,Pass,Pass,Pass,1,1
23,Pass,Pass,Pass,Pass,1,1
24,Pass,Pass,Pass,Pass,1,1
25,Pass,Pass,Pass,Pass,1,1
26,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'list' object has no attribute 'dtype',1,1
27,Pass,Pass,Pass,Pass,1,1
28,Pass,Pass,Pass,Pass,1,1
29,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: isin() got an unexpected keyword argument 'axis'",Fail: Skipped,1,1
30,Pass,Pass,Pass,Pass,1,1
31,Pass,Pass,Pass,"Fail: Failed: [Expected: ('0.16', 5), Got: ('-112000000.00', 5)]",1,1
32,Pass,Pass,Pass,Pass,2,2
33,Pass,Pass,Pass,Pass,3,3
34,Pass,Pass,Pass,Pass,2,2
35,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,4,4
36,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,2,2
37,Pass,Pass,Pass,Pass,2,2
38,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,2,2
39,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'MaskedArray' object has no attribute 'mini',1,1
40,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,2,2
41,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,3,3
42,Pass,Pass,Pass,Pass,2,2
43,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,1,1
44,Pass,Pass,Pass,Pass,1,1
45,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,1,1
46,Pass,Pass,Pass,Pass,0,0
47,Pass,Pass,Pass,Pass,1,1
48,Pass,Pass,Pass,"Fail: Failed: [Expected: 7.0, Got: np.float64(nan)]",0,0
49,Pass,Pass,Pass,Pass,0,0
