sample_index,compiles,correct_indentation,no_deprecations,correct_functionality
0,Pass,Pass,Pass,Pass
1,Pass,Pass,Pass,Pass
2,Pass,Pass,Pass,Pass
3,Pass,Pass,Pass,Pass
4,Pass,Pass,Pass,"Fail: Failed: [Expected: array([10.+0.j, -2.+2.j, -2.+0.j]), Got: array([10.+0.j, -2.+2.j, -2.+0.j, -2.-2.j])]"
5,Pass,"Fail: IndentationError: unexpected indent (<string>, line 15)","Fail: Error during execution, most likely due to deprecation: cannot access local variable 'np' where it is not associated with a value",Fail: Skipped
6,Pass,Pass,Pass,Pass
7,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.ndarray' object has no attribute 'format'
8,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
9,Pass,Pass,Pass,Pass
10,Pass,Pass,Pass,"Fail: Failed: [Expected: True, Got: False]"
11,Pass,Pass,Pass,"Fail: Failed: [Expected: array([2, 2, 1, 1]), Got: array([0, 1, 2, 4, 7, 7])]"
12,Pass,Pass,Pass,Pass
13,Pass,Pass,Pass,"Fail: Failed: [Expected: (array([3, 6, 6]), array([4, 5, 1])), Got: array([3, 6, 6, 4, 5, 1])]"
14,Pass,Pass,Pass,Pass
15,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",Fail: Skipped
16,Pass,Pass,Pass,Pass
17,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
18,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.nditer' object has no attribute 'increment'
19,Pass,Pass,Pass,"Fail: Failed: [Expected: array([[1, 3],
       [2, 4]]), Got: array([[99,  3],
       [ 2,  4]])]"
20,Pass,Pass,Pass,"Fail: Failed: [Expected: array([[2, 1],
       [3, 4]]), Got: array([[1, 3],
       [2, 4]])]"
21,Pass,Pass,Pass,Pass
22,Pass,Pass,Pass,Pass
23,Pass,Pass,Pass,"Fail: Failed: [Expected: array([ 1,  2,  6, 24]), Got: np.int64(24)]"
24,Pass,Pass,Pass,"Fail: Failed: [Expected: True, Got: np.False_]"
25,Pass,Pass,Pass,Pass
26,Pass,Pass,Pass,"Fail: Failed: [Expected: dtype('float64'), Got: False]"
27,Pass,Pass,Pass,Pass
28,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
29,Pass,Pass,Pass,Pass
30,Pass,Pass,Pass,"Fail: Failed: [Expected: array([[1, 2, 3],
       [4, 5, 6]]), Got: array([1, 2, 3, 4, 5, 6])]"
31,Pass,Pass,Pass,"Fail: Failed: [Expected: ('0.16', 5), Got: ('inf', 5)]"
32,Pass,Pass,Pass,Pass
33,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
34,Pass,Pass,Pass,Pass
35,Pass,Pass,Pass,Pass
36,Pass,Pass,Pass,Pass
37,Pass,Pass,Pass,Pass
38,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
39,Pass,Pass,Pass,"Fail: Failed: [Expected: (1, array([14. +0.j , -5.5+2.6j])), Got: (np.int64(1), array([41. +0.j , -9. +2.1j, -9.-11.9j]))]"
40,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
41,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: unsupported operand type(s) for +: 'NoneType' and 'int'",Fail: Skipped
42,Pass,Pass,Pass,Pass
43,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: float() argument must be a string or a real number, not 'complex'",Fail: Skipped
44,Pass,Pass,Pass,Pass
45,Pass,Pass,Pass,Pass
46,Pass,Pass,Pass,Pass
47,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: ",Fail: Skipped
48,Pass,Pass,Pass,"Fail: Failed: [Expected: 7.0, Got: np.float64(nan)]"
49,Pass,Pass,Pass,Pass
