sample_index,compiles,correct_indentation,no_deprecations,correct_functionality,functions_retrieved,functions_with_context
0,Pass,Pass,Pass,Pass,0,0
1,Pass,Pass,Pass,Pass,0,0
2,Pass,Pass,Pass,Pass,0,0
3,Pass,Pass,Pass,Pass,0,0
4,Pass,Pass,Pass,Pass,0,0
5,Fail: No code generated,Fail: Skipped,Fail: Skipped,Fail: Skipped,0,0
6,Pass,Pass,Pass,Pass,0,0
7,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,0,0
8,Pass,Pass,Pass,Pass,0,0
9,Pass,Pass,Pass,Pass,0,0
10,Pass,Pass,Pass,Pass,0,0
11,Pass,Pass,Pass,Pass,0,0
12,Pass,Pass,Pass,Pass,0,0
13,Pass,Pass,Pass,Pass,0,0
14,Pass,Pass,Pass,Pass,0,0
15,Fail: No code generated,Fail: Skipped,Fail: Skipped,Fail: Skipped,0,0
16,Pass,Pass,Pass,Pass,0,0
17,Pass,Pass,Pass,Pass,0,0
18,Fail: No code generated,Fail: Skipped,Fail: Skipped,Fail: Skipped,0,0
19,Pass,Pass,Pass,Pass,0,0
20,Pass,Pass,Pass,Pass,0,0
21,Pass,Pass,Pass,Pass,0,0
22,Pass,Pass,Pass,Pass,0,0
23,Fail: No code generated,Fail: Skipped,Fail: Skipped,Fail: Skipped,0,0
24,Pass,Pass,Pass,Pass,0,0
25,Pass,Pass,Pass,Pass,0,0
26,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: Field elements must be 2- or 3-tuples, got '<class 'numpy.int16'>'",Fail: Skipped,0,0
27,Fail: No code generated,Fail: Skipped,Fail: Skipped,Fail: Skipped,0,0
28,Pass,Pass,Pass,Pass,0,0
29,Pass,Pass,Pass,Pass,0,0
30,Pass,Pass,Pass,Pass,0,0
31,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,0,0
32,Pass,Pass,Pass,"Fail: Failed: [Expected: b'\x01\x00\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00\x00\x00\x00\x00', Got: b'\x01\x00\x00\x00\x02\x00\x00\x00\x03\x00\x00\x00']",0,0
33,Pass,Pass,Pass,Pass,0,0
34,Pass,Pass,Pass,Pass,0,0
35,Pass,Pass,Pass,Pass,0,0
36,Pass,Pass,Pass,Pass,0,0
37,Pass,Pass,Pass,Pass,0,0
38,Pass,Pass,Pass,"Fail: Failed: [Expected: (True, True), Got: (np.True_, array([ True, False]))]",0,0
39,Pass,Pass,Pass,"Fail: Failed: [Expected: (1, array([14. +0.j , -5.5+2.6j])), Got: (np.int64(1), array([41. +0.j , -9. +2.1j, -9.-11.9j]))]",0,0
40,Pass,Pass,Pass,Pass,0,0
41,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,0,0
42,Pass,Pass,Pass,Pass,0,0
43,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: Converting `np.complex` to a dtype is not allowed.",Fail: Skipped,0,0
44,Pass,Pass,Pass,Pass,0,0
45,Pass,Pass,Pass,Pass,0,0
46,Fail: No code generated,Fail: Skipped,Fail: Skipped,Fail: Skipped,0,0
47,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: ",Fail: Skipped,0,0
48,Pass,Pass,Pass,Pass,0,0
49,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped,0,0
